,dx,dv
141,0.27198872404742414,10.26066862537555
142,0.2822493926727998,10.185749543315314
143,0.2924351422161151,10.108928165694124
144,0.3025440703818092,10.030223280919513
145,0.3125742936627287,9.949654020281312
146,0.3225239476830102,9.867239853508202
147,0.3323911875365182,9.783000584264585
148,0.34217418812078293,9.696956345588752
149,0.3518711444663716,9.609127595273419
150,0.361480272061645,9.519535111189597
151,0.37099980717283465,9.428199986554889
152,0.3804280071593895,9.335143625147213
153,0.38976315078453694,9.24038773646504
154,0.3990035385210018,9.143954330835204
155,0.40814749285183693,9.045865714469333
156,0.41719335856630635,8.946144484470027
157,0.4261395030507764,8.844813523787826
158,0.43498431657456416,8.741895996130095
159,0.44372621257069444,8.637415340822923
160,0.4523636279115173,8.531395267627138
161,0.46089502317914444,8.42385975150958
