,lMtilde,lTtilde,vMtilde
42,1.0212121212121212,0.985,-0.6941590109049333
43,1.0383838383838384,0.985,-0.7014539838219589
44,1.0555555555555556,0.985,-0.7091650683912722
45,1.0727272727272728,0.985,-0.716342595827765
46,1.08989898989899,0.985,-0.7231150368937376
47,1.107070707070707,0.985,-0.7301457040999262
48,1.1242424242424243,0.985,-0.7381344231821527
49,1.1414141414141414,0.985,-0.7477212697368815
50,1.1585858585858586,0.985,-0.7595987835922366
51,1.1757575757575758,0.985,-0.7745801717541462
52,1.192929292929293,0.985,-0.7936185280931668
53,1.2101010101010101,0.985,-0.8177794956774441
54,1.2272727272727273,0.985,-0.848156270025091
55,1.2444444444444445,0.985,-0.8857254606321937
56,1.2616161616161616,0.985,-0.9341467321276276
57,1.2787878787878788,0.985,-1.0481441897303518
58,1.295959595959596,0.985,-1.2183677299007944
59,1.3131313131313131,0.985,-1.4070179738732826
60,1.3303030303030303,0.985,-1.6136551852773544
61,1.3474747474747475,0.985,-1.8377762249687
62,1.3646464646464647,0.985,-2.078978818915858
63,1.3818181818181818,0.985,-2.337080005578944
64,1.398989898989899,0.985,-2.612179189576029
65,1.4161616161616162,0.985,-2.9046624224246314
66,1.4333333333333333,0.985,-3.2151452834837615
67,1.4505050505050505,0.985,-3.544352634743839
68,1.4676767676767677,0.985,-3.892940523916318
69,1.4848484848484849,0.985,-4.261281937121684
70,1.502020202020202,0.985,-4.649260688476165
71,1.5191919191919192,0.985,-5.056132652001571
72,1.5363636363636364,0.985,-5.4805041859202355
73,1.5535353535353535,0.985,-5.9204395665192635
74,1.5707070707070707,0.985,-6.373661479955692
75,1.587878787878788,0.985,-6.8377802316919
76,1.605050505050505,0.985,-7.310492079946579
77,1.6222222222222222,0.985,-7.789714241582161
78,1.6393939393939394,0.985,-8.273653033456284
79,1.6565656565656566,0.985,-8.760819262967523
80,1.6737373737373737,0.985,-9.250010099006586
81,1.690909090909091,0.985,-9.740274089840886
82,1.708080808080808,0.985,-10.230880230880231
83,1.7252525252525253,0.985,-10.721500721500721
84,1.7424242424242424,0.985,-11.212121212121211
85,1.7595959595959596,0.985,-11.702741702741704
86,1.7767676767676768,0.985,-12.193362193362194
87,1.793939393939394,0.985,-12.683982683982682
88,1.8111111111111111,0.985,-13.174603174603176
89,1.8282828282828283,0.985,-13.665223665223666
90,1.8454545454545455,0.985,-14.155844155844155
91,1.8626262626262626,0.985,-14.646464646464649
92,1.8797979797979798,0.985,-15.137085137085137
93,1.896969696969697,0.985,-15.627705627705629
94,1.9141414141414141,0.985,-16.118326118326117
95,1.9313131313131313,0.985,-16.60894660894661
96,1.9484848484848485,0.985,-17.0995670995671
97,1.9656565656565657,0.985,-17.59018759018759
98,1.9828282828282828,0.985,-18.08080808080808
99,2.0,0.985,-18.571428571428573
100,0.3,0.9859090909090908,0.0
101,0.31717171717171716,0.9859090909090908,0.0
102,0.33434343434343433,0.9859090909090908,0.0
103,0.3515151515151515,0.9859090909090908,0.0
104,0.3686868686868687,0.9859090909090908,0.0
105,0.38585858585858585,0.9859090909090908,0.0
106,0.403030303030303,0.9859090909090908,0.0
107,0.4202020202020202,0.9859090909090908,0.0
108,0.43737373737373736,0.9859090909090908,0.0
109,0.45454545454545453,0.9859090909090908,-0.0032138693247828155
110,0.4717171717171717,0.9859090909090908,-0.08666843156422768
111,0.4888888888888889,0.9859090909090908,-0.24236006330849832
112,0.5060606060606061,0.9859090909090908,-0.34232028098801154
113,0.5232323232323233,0.9859090909090908,-0.4074319185100339
114,0.5404040404040404,0.9859090909090908,-0.45473136825877625
115,0.5575757575757576,0.9859090909090908,-0.4917361363452738
116,0.5747474747474748,0.9859090909090908,-0.5221420445798216
117,0.591919191919192,0.9859090909090908,-0.5479740361208302
118,0.6090909090909091,0.9859090909090908,-0.5704257770948918
119,0.6262626262626263,0.9859090909090908,-0.5902156249441025
120,0.6434343434343435,0.9859090909090908,-0.6077631157555899
121,0.6606060606060606,0.9859090909090908,-0.6232133659829054
122,0.6777777777777778,0.9859090909090908,-0.636261655678644
123,0.694949494949495,0.9859090909090908,-0.6458850054392042
124,0.7121212121212122,0.9859090909090908,-0.6519328643383937
125,0.7292929292929293,0.9859090909090908,-0.6561503253244777
126,0.7464646464646465,0.9859090909090908,-0.6596545507561556
127,0.7636363636363637,0.9859090909090908,-0.6628350333254243
128,0.7808080808080808,0.9859090909090908,-0.6658371831598624
129,0.797979797979798,0.9859090909090908,-0.6687251718092038
130,0.8151515151515152,0.9859090909090908,-0.671531336014422
131,0.8323232323232324,0.9859090909090908,-0.6742736203278997
